Type,Location,Comments,CurrentPatients,CumulativePatients,Beds,Latitude,Longitude,KM,Status,Display
AS,5,Closed,1,0,2,29.743814,-95.418886,1,0,1
AS,7,Closed,2,0,3,29.725754,-95.404474,2,0,1
AS,10,Closed,5,0,7,29.7474,-95.392166,3,0,1
AS,9,Closed,0,0,0,29.715134,-95.418493,4,0,0
AS,12,Closed,0,0,0,29.727031,-95.441253,5,0,0
AS,14,Closed,0,0,0,29.732037,-95.460625,6,0,0
AS,16,Closed,0,0,0,29.75497,-95.470655,7,0,0
AS,18,Closed,0,0,0,29.776745,-95.483433,8,0,0
AS,19,Closed,0,0,0,29.773439,-95.45667,9,0,0
AS,20,Closed,0,0,0,29.765351,-95.440775,10,0,0
AS,21,Closed,0,0,0,29.764369,-95.431389,11,0,0
AS,22,Closed,0,0,0,29.761381,-95.418314,12,0,0
AS,23,Closed,0,0,0,29.759096,-95.403761,13,0,0
AS,24,Closed,0,0,0,29.761262,-95.385232,14,0,0
AS,25,Closed,0,0,0,29.760163,-95.374181,15,0,0
MT,FS,Closed,3,0,10,29.755585,-95.364708,16,0,0
AS,FN,Closed,0,0,0,29.755893,-95.364493,17,0,0
AS,SJC,Closed,0,0,0,29.755008,-95.363302,18,0,0
AS,CS,Closed,0,0,0,29.754495,-95.363013,19,0,0
AS,CN,Closed,0,0,0,29.754766,-95.362744,20,0,0
AS,LBS,Closed,0,0,0,29.753452,-95.361317,21,0,0
AS,LBN,Closed,0,0,0,29.753815,-95.361017,22,0,0
AS,SETRAC,Closed,0,0,0,29.7678161,-95.4473551,23,0,0
AS,SETRACDT,Closed,0,0,0,29.760144,-95.373956,24,0,0
